,Sr.No.,Cut Off Merit (Score),Choice Code,Institute,Course Name
180,181,109058 (57),413924210,"4139 - Samridhi Sarwajanik Charitable Trust, Jhulelal Institute of Technology, Nagpur",Computer Science and Engineering
181,182,109059 (57),212937610,"2129 - M.S. Bidve Engineering College, Latur",Electronics Engineering
182,183,109062 (57),632024510,"6320 - K.J.'s Educational Institute's K.J.College of Engineering & Management
Research, Pisoli",Computer Engineering
183,184,109068 (57),211119110,"2111 - Everest Education Society, Group of Institutions (Integrated Campus), Ohar",Civil Engineering
184,185,109069 (57),621737210,"6217 - Shri. Balasaheb Mane Prasarak Mandals, Ashokrao Mane Group of Institutions,
Kolhapur","Electronics and Telecommunication
Engg"
185,186,109076 (57),678161210,"6781 - Bhagwant Institute of Technology, Barshi",Mechanical Engineering
186,187,109086 (57),539019110,"5390 - K.V.N. Naik S. P. Sansth's Loknete Gopinathji Munde Institute of Engineering
Education & Research, Nashik.",Civil Engineering
187,188,109094 (57),126819110,"1268 - Siddhivinayak Technical Campus, School of Engineering & Research Technology,
Shirasgon, Nile",Civil Engineering
188,189,109101 (57),413437210,"4134 - Guru Nanak Institute of Engineering & Technology,Kalmeshwar, Nagpur","Electronics and Telecommunication
Engg"
189,190,109104 (57),417219110,"4172 - Anjuman College of Engineering & Technology, Nagpur",Civil Engineering
190,191,109106 (57),419661210,"4196 - Gurunanak Educational Society's Gurunanak Institute of Technology, Nagpur",Mechanical Engineering
191,192,109109 (57),413737210,"4137 - Sir Shantilal Badjate Charitable Trust's S. B. Jain Institute of technology,
Management & Research, Nagpur","Electronics and Telecommunication
Engg"
192,193,109122 (57),631737210,"6317 - Sharad Institute of Technology College of Engineering, Yadrav(Ichalkaranji)","Electronics and Telecommunication
Engg"
193,194,109124 (57),461319110,"4613 - Suryodaya College of Engineering & Technology, Nagpur",Civil Engineering
194,195,109131 (57),113061210,"1130 - Vision Buldhana Educational & Welfare Society's Pankaj Laddhad Institute of
Technology & Management Studies, Yelgaon",Mechanical Engineering
195,196,109135 (56),676224210,"6762 - Nanasaheb Mahadik College of Engineering,Walwa, Sangli.",Computer Science and Engineering
196,197,109136 (56),419719110,"4197 - Jai Mahakali Shikshan Sanstha, Agnihotri College of Engineering, Sindhi(Meghe)",Civil Engineering
197,198,109142 (56),518261210,"5182 - Kalyani Charitable Trust, Late Gambhirrao Natuba Sapkal College of
Engineering, Anjaneri, Trimbakeshwar Road, Nashik",Mechanical Engineering
198,199,109147 (56),510519110,"5105 - G.H. Raisoni Institute of Engineering and Management, Jalgaon",Civil Engineering
199,200,109148 (56),616037210,"6160 - JSPM's Imperial College of Engineering and Research, Wagholi, Pune","Electronics and Telecommunication
Engg"
200,201,109149 (56),320629310,"3206 - S.S.P.M.'s College of Engineering, Kankavli",Electrical Engineering
201,202,109150 (56),510561210,"5105 - G.H. Raisoni Institute of Engineering and Management, Jalgaon",Mechanical Engineering
202,203,109156 (56),654537210,"6545 - Samarth Education Trust's Arvind Gavali College Of Engineering Panwalewadi,
Varye,Satara.","Electronics and Telecommunication
Engg"
203,204,109158 (56),113024210,"1130 - Vision Buldhana Educational & Welfare Society's Pankaj Laddhad Institute of
Technology & Management Studies, Yelgaon",Computer Science and Engineering
204,205,109159 (56),321924510,"3219 - Koti Vidya Charitable Trust's Smt. Alamuri Ratnamala Institute of Engineering
and Technology, Sapgaon, Tal. Shahapur",Computer Engineering
205,206,109164 (56),413529310,"4135 - Amar Seva Mandal's Shree Govindrao Vanjari College of Engineering &
Technology, Nagpur",Electrical Engineering
