141,142,116450 (1),629837210.0,"6298 - Zeal Education Society's Zeal College of Engineering & Reserch, Narhe, Pune",,"Electronics and Telecommunication
Engg",JEE,MH to AI,GNT2H
142,143,116453 (1),416561210.0,"4165 - Gondia Education Society's Manoharbhai Patel Institute of Engineering and
Technology, Gondia",,Mechanical Engineering,JEE,MH to AI,GNT2H
143,144,116457 (1),413837210.0,"4138 - Jaidev Education Society, J D College of Engineering and Management, Nagpur",,"Electronics and Telecommunication
Engg",JEE,AI to AI,AI
144,145,116463 (1),417137010.0,"4171 - Lokmanya Tilak Jankalyan Shikshan Sanstha's , Priyadarshini Institute of
Engineering and Technology, Nagpur",,"Electronics and Communication
Engineering",JEE,MI to AI,MI
145,146,116465 (1),413424210.0,"4134 - Guru Nanak Institute of Engineering & Technology,Kalmeshwar, Nagpur",,Computer Science and Engineering,JEE,MH to AI,GOBCH
146,147,116500 (97),675919110.0,"6759 - Shree Ramchandra College of Engineering, Lonikand,Pune",,Civil Engineering,CET,MH to AI,GOBCH
147,148,116576 (81),612237210.0,"6122 - TSSMS's Pd. Vasantdada Patil Institute of Technology, Bavdhan, Pune",,"Electronics and Telecommunication
Engg",CET,MH to AI,GNT1H
148,149,116601 (80),417829310.0,"4178 - Rajiv Gandhi College of Engineering & Research, Hingna Road, Nagpur",,Electrical Engineering,CET,MH to AI,GOBCH
149,150,116618 (78),321924510.0,"3219 - Koti Vidya Charitable Trust's Smt. Alamuri Ratnamala Institute of Engineering
and Technology, Sapgaon, Tal. Shahapur",,Computer Engineering,CET,MH to AI,PHCH
150,151,116684 (75),321761210.0,"3217 - Vighnaharata Trust's Shivajirao S. Jondhale College of Engineering &
Technology, Shahapur, Asangaon, Dist Thane",,Mechanical Engineering,CET,MH to AI,GSTH
151,152,116736 (73),253329310.0,"2533 - CSMSS Chh. Shahu College of Engineering, Aurangabad",,Electrical Engineering,CET,AI to AI,AI
152,153,116819 (70),616037210.0,"6160 - JSPM's Imperial College of Engineering and Research, Wagholi, Pune",,"Electronics and Telecommunication
Engg",CET,MH to AI,GNT1H
153,154,117008 (66),111650710.0,"1116 - Shri Shivaji Education Society's College of Engineering and Technology, Akola",,Chemical Engineering,CET,AI to AI,AI
154,155,117120 (64),211350110.0,"2113 - G. S. Mandal's Maharashtra Institute of Technology, Aurangabad",,Plastic and Polymer Engineering,CET,MH to AI,GSCH
155,156,117697 (58),510424610.0,"5104 - Shramsadhana Bombay Trust, College of Engineering & Technology, Jalgaon",,Information Technology,CET,AI to AI,AI
156,157,117704 (57),516824510.0,"5168 - T.M.E. Society's J.T.Mahajan College of Engineering, Faizpur",,Computer Engineering,CET,AI to AI,AI
157,158,117757 (57),626819120.0,"6268 - Tatyasaheb Kore Institute of Engineering and Technology, Warananagar",,Civil Engineering,CET,AI to AI,AI
158,159,117805 (56),251637210.0,"2516 - International Centre of Excellence in Engineering & Management, Aurangabad.",,"Electronics and Telecommunication
Engg",CET,MH to AI,GNT1H
159,160,117853 (56),112024210.0,"1120 - Jawaharlal Darda Institute of Engineering and Technology, Yavatmal",,Computer Science and Engineering,CET,MH to AI,DEFO
160,161,117970 (54),625019110.0,"6250 - D.Y. Patil College of Engineering and Technology, Kolhapur",,Civil Engineering,CET,AI to AI,AI
161,162,118040 (53),419024210.0,"4190 - M.D. Yergude Memorial Shikshan Prasarak Mandal's Shri Sai College of
Engineering & Technology, Badravati",,Computer Science and Engineering,CET,MH to AI,GNT1H
162,163,118056 (53),321837210.0,"3218 - Aldel Education Trust's St. John College of Engineering & Management, Vevoor,
Palghar",,"Electronics and Telecommunication
Engg",CET,MI to AI,MI
163,164,118111 (53),413961210.0,"4139 - Samridhi Sarwajanik Charitable Trust, Jhulelal Institute of Technology, Nagpur",,Mechanical Engineering,CET,MH to AI,LOPENO
164,165,118116 (53),410424610.0,"4104 - Kavi Kulguru Institute of Technology & Science, Ramtek",,Information Technology,CET,AI to AI,AI
